Obstacle_id,Gadget_id,Description
1,1,You reveal the laser beams with the hairspray
1,7,You disarm the lasers with the needle-nose pliers
1,8,You disarm the lasers with the butt plug!
2,2,You sneak around the sleeping guard wearing your thick cotton socks
2,4,You make sure that fucker stays out with tranq dart
2,8,You use the butt plug!
2,9,You put noise cancelling head phones on the sleeping guard
3,1,You blind the guard with hairspray
3,2,You slip by the guard in your thick cotton socks
3,3,You distract the guard with a wind-up mouse
3,4,You knock the guard out with a tranq dart
3,8,Patrolling guard and butt plug
4,1,You blind the aggro guard with hairspray
4,2,You sneak by the aggro guard in your thick cotton socks
4,4,You knock that aggro bitch out with a tranq dart
4,7,You fuck him up with needle nose pliers
4,8,Butt plug
5,5,You pick the lock with your lockpick
5,7,You pick the lock with needle-nose pliers
5,8,You open the door somehow wearing your butt plug
6,1,Short circuit the beep boops with hairspray
6,6,You hack the door with your laptop
6,7,You short circuit the door with needle-nose pliers
6,8,BUUUTTT PLUUUG!
7,1,You short circuit mainframe with hairspray
7,6,You hack the mainframe with your laptop
7,7,You short circuit the mainframe with needle nose pliers
7,8,You butt plug the mainframe 
8,1,You short circuit the motion alarm with hairspray
8,6,You hack the motion alarm with your laptop
8,7,You cut the motion alarm with your needle-nose pliers
8,8,You elude the motion alarm donning your trusty butt plug
9,2,You elude the noise sensor wearing thick cotton socks
9,8,You keep quiet wearing your butt plug
9,9,You cover the sensor with your noise cancelling headphones
10,2,You hold in your farts with your thick cotton socks
10,7,You pinch your buttcheeks with needle-nose pliers
10,8,You keep them farts in with your butt plug
